file_name,province,year,num_all,num_c1,num_c2,num_c3,num_c4,num_c5,TV_S,TV_D,TV_O,A_S,temperature,rain,death
ilam-1399,Ilam,1399,35280536,31410136,1197887,1182377,284256,1205880,2339628,2821309,1124288,69.5284772,16,531.1,100
ilam-1400,Ilam,1400,38253142,33796639,1209315,1191687,432242,1623259,3133796,3236753,1395438,71.25868837,15.2,451.6,116
ilam-1401,Ilam,1401,53017355,46500964,1606426,1526969,1100853,2282143,4289949,5280154,862679,71.63332418,16.6,500.9,160
ilam-1402,Ilam,1402,65005304,57089910,1773128,1759008,1408206,2975052,6941507,6709543,693409,72.55866803,17.6,513.5,149
ilam-1403,Ilam,1403,76524083,66483148,2574642,2083561,1769153,3613579,7857752,7981580,629866,70.98311268,16.6,326.4,126
jonoubi-1395,South Khorasan,1395,34648967,23170867,3029098,2042388,1285911,5120703,7525268,2495462,586228,80.04261279,18.1,162.5,152
jonoubi-1396,South Khorasan,1396,40058752,27178061,3223108,2532104,1348342,5777137,9730938,3234876,394934,79.87915933,18.6,134.9,204
jonoubi-1397,South Khorasan,1397,47597121,33767643,3606455,2780945,1536592,5905486,12867425,4350787,492874,82.05817317,18.8,164.3,174
jonoubi-1398,South Khorasan,1398,49795695,37082806,2865491,2310425,1611167,5925806,9284971,5067714,1182519,81.7616117,18.8,108.2,231
jonoubi-1399,South Khorasan,1399,46251338,32210384,2758346,2373742,1478419,7430447,6576622,3600971,1039409,81.04193665,18.6,111.2,176
jonoubi-1400,South Khorasan,1400,57263759,42086042,3177212,2571724,1376504,8052277,12350447,4294841,1381162,83.22637851,18.7,138.2,214
jonoubi-1401,South Khorasan,1401,66034948,51845674,3535356,2315041,1323505,7015372,15655342,6321523,439531,103.6679288,19.5,121.8,318
jonoubi-1402,South Khorasan,1402,67799648,52357050,3582246,2415272,1672774,7772306,11719179,6237153,9589,87.44360291,20.2,126,264
jonoubi-1403,South Khorasan,1403,73954180,54512105,5203620,3553726,2229944,8454785,7705398,1536199,1811841,90.29563778,21.1,90,201
kerman-1395,Kerman,1395,223910758,175461807,10701226,13159383,4564399,20023943,19660134,27373178,1641983,76.2448874,14.3,118.2,593
kerman-1396,Kerman,1396,122815314,95734972,6045408,5132237,3434718,12467979,11383666,10974335,2261063,75.71022585,14.7,110.5,760
kerman-1397,Kerman,1397,138818491,108863189,7913601,4208474,3172112,14661115,10796140,12033097,3186722,79.03619238,15,118.3,715
kerman-1398,Kerman,1398,167600436,130669992,10946612,4799206,3107687,18076939,13113554,13903416,3677704,79.30630678,15.1,121.7,702
